# name: cv_main 0.1 V/s vs Ag/AgCl
# reference_electrode: Ag/AgCl (sat. KCl)
# potential_unit: V
# current_unit: A
# time_unit: s
# scan_rate: 0.1
# scan_rate_unit: V/s
# electrode_area: 0.0707
# electrode_area_unit: cm^2
time_s,potential_v,current_a
0.0000,0.00000,2.100000000e-06
0.1000,0.00000,2.100000000e-06
0.2000,0.00000,2.100000000e-06
0.3000,0.00000,2.100000000e-06
0.4000,0.00000,2.100000000e-06
0.5000,0.00000,2.100000000e-06
0.6000,0.01000,2.110000000e-06
0.7000,0.02000,2.120000000e-06
0.8000,0.03000,2.130000000e-06
0.9000,0.04000,2.140000000e-06
1.0000,0.05000,2.150000000e-06
1.1000,0.06000,2.160000000e-06
1.2000,0.07000,2.170000000e-06
1.3000,0.08000,2.180000000e-06
1.4000,0.09000,2.190000000e-06
1.5000,0.10000,2.200000000e-06
1.6000,0.11000,2.210000000e-06
1.7000,0.12000,2.220000000e-06
1.8000,0.13000,2.230000000e-06
1.9000,0.14000,2.240000000e-06
2.0000,0.15000,2.250000000e-06
2.1000,0.16000,2.260000000e-06
2.2000,0.17000,2.270000005e-06
2.3000,0.18000,2.280000122e-06
2.4000,0.19000,2.290002160e-06
2.5000,0.20000,2.300029821e-06
2.6000,0.21000,2.310320614e-06
2.7000,0.22000,2.322684631e-06
2.8000,0.23000,2.347507992e-06
2.9000,0.24000,2.428931549e-06
3.0000,0.25000,2.701870598e-06
3.1000,0.26000,3.444695042e-06
3.2000,0.27000,4.976422603e-06
3.3000,0.28000,7.268101415e-06
3.4000,0.29000,9.569021789e-06
3.5000,0.30000,1.073680858e-05
3.6000,0.31000,1.028198692e-05
3.7000,0.32000,8.940469080e-06
3.8000,0.33000,7.947733275e-06
3.9000,0.34000,7.879576488e-06
4.0000,0.35000,8.340193547e-06
4.1000,0.36000,8.548871972e-06
4.2000,0.37000,8.026198007e-06
4.3000,0.38000,6.839577923e-06
4.4000,0.39000,5.410834058e-06
4.5000,0.40000,4.168253616e-06
4.6000,0.41000,3.322013859e-06
4.7000,0.42000,2.856808699e-06
4.8000,0.43000,2.649046574e-06
4.9000,0.44000,2.575856138e-06
5.0000,0.45000,2.559202864e-06
5.1000,0.46000,2.562012776e-06
5.2000,0.47000,2.570375129e-06
5.3000,0.48000,2.580059577e-06
5.4000,0.49000,2.590008063e-06
5.5000,0.50000,2.600000930e-06
5.6000,0.51000,2.610000091e-06
5.7000,0.52000,2.620000008e-06
5.8000,0.53000,2.630000001e-06
5.9000,0.54000,2.640000000e-06
6.0000,0.55000,2.650000000e-06
6.1000,0.56000,2.660000000e-06
6.2000,0.57000,2.670000000e-06
6.3000,0.58000,2.680000000e-06
6.4000,0.59000,2.690000000e-06
6.5000,0.60000,2.700000000e-06
6.6000,0.61000,2.710000000e-06
6.7000,0.62000,2.720000000e-06
6.8000,0.63000,2.730000000e-06
6.9000,0.64000,2.740000000e-06
7.0000,0.65000,2.750000000e-06
7.1000,0.66000,2.760000000e-06
7.2000,0.67000,2.770000000e-06
7.3000,0.68000,2.780000000e-06
7.4000,0.69000,2.790000000e-06
7.5000,0.70000,2.800000000e-06
7.6000,0.71000,2.810000000e-06
7.7000,0.72000,2.820000000e-06
7.8000,0.73000,2.830000000e-06
7.9000,0.74000,2.840000000e-06
8.0000,0.75000,2.850000000e-06
8.1000,0.76000,2.860000000e-06
8.2000,0.77000,2.870000000e-06
8.3000,0.78000,2.880000000e-06
8.4000,0.79000,2.890000000e-06
8.5000,0.80000,2.900000000e-06
8.6000,0.80000,2.900000000e-06
8.7000,0.80000,2.900000000e-06
8.8000,0.80000,2.900000000e-06
8.9000,0.80000,2.900000000e-06
9.0000,0.79000,-1.110000000e-06
9.1000,0.78000,-1.120000000e-06
9.2000,0.77000,-1.130000000e-06
9.3000,0.76000,-1.140000000e-06
9.4000,0.75000,-1.150000000e-06
9.5000,0.74000,-1.160000000e-06
9.6000,0.73000,-1.170000000e-06
9.7000,0.72000,-1.180000000e-06
9.8000,0.71000,-1.190000000e-06
9.9000,0.70000,-1.200000000e-06
10.0000,0.69000,-1.210000000e-06
10.1000,0.68000,-1.220000000e-06
10.2000,0.67000,-1.230000000e-06
10.3000,0.66000,-1.240000000e-06
10.4000,0.65000,-1.250000000e-06
10.5000,0.64000,-1.260000000e-06
10.6000,0.63000,-1.270000000e-06
10.7000,0.62000,-1.280000000e-06
10.8000,0.61000,-1.290000000e-06
10.9000,0.60000,-1.300000000e-06
11.0000,0.59000,-1.310000000e-06
11.1000,0.58000,-1.320000000e-06
11.2000,0.57000,-1.330000000e-06
11.3000,0.56000,-1.340000000e-06
11.4000,0.55000,-1.350000000e-06
11.5000,0.54000,-1.360000000e-06
11.6000,0.53000,-1.370000001e-06
11.7000,0.52000,-1.380000010e-06
11.8000,0.51000,-1.390000076e-06
11.9000,0.50000,-1.400000532e-06
12.0000,0.49000,-1.410003329e-06
12.1000,0.48000,-1.420018633e-06
12.2000,0.47000,-1.430093322e-06
12.3000,0.46000,-1.440418242e-06
12.4000,0.45000,-1.451677313e-06
12.5000,0.44000,-1.466019301e-06
12.6000,0.43000,-1.489329610e-06
12.7000,0.42000,-1.535545089e-06
12.8000,0.41000,-1.632828589e-06
12.9000,0.40000,-1.828652050e-06
13.0000,0.39000,-2.186745923e-06
13.1000,0.38000,-2.767198694e-06
13.2000,0.37000,-3.587909691e-06
13.3000,0.36000,-4.583389973e-06
13.4000,0.35000,-5.595519175e-06
13.5000,0.34000,-6.428685008e-06
13.6000,0.33000,-6.962943340e-06
13.7000,0.32000,-7.257144327e-06
13.8000,0.31000,-7.539948118e-06
13.9000,0.30000,-8.039919090e-06
14.0000,0.29000,-8.748604712e-06
14.1000,0.28000,-9.328575469e-06
14.2000,0.27000,-9.306676416e-06
14.3000,0.26000,-8.430457068e-06
14.4000,0.25000,-6.875870763e-06
14.5000,0.24000,-5.122810774e-06
14.6000,0.23000,-3.635590704e-06
14.7000,0.22000,-2.633366283e-06
14.8000,0.21000,-2.084620653e-06
14.9000,0.20000,-1.839305905e-06
15.0000,0.19000,-1.751925483e-06
15.1000,0.18000,-1.730755308e-06
15.2000,0.17000,-1.732351568e-06
15.3000,0.16000,-1.740438183e-06
15.4000,0.15000,-1.750069583e-06
15.5000,0.14000,-1.760009416e-06
15.6000,0.13000,-1.770001086e-06
15.7000,0.12000,-1.780000107e-06
15.8000,0.11000,-1.790000009e-06
15.9000,0.10000,-1.800000001e-06
16.0000,0.09000,-1.810000000e-06
16.1000,0.08000,-1.820000000e-06
16.2000,0.07000,-1.830000000e-06
16.3000,0.06000,-1.840000000e-06
16.4000,0.05000,-1.850000000e-06
16.5000,0.04000,-1.860000000e-06
16.6000,0.03000,-1.870000000e-06
16.7000,0.02000,-1.880000000e-06
16.8000,0.01000,-1.890000000e-06
16.9000,0.00000,-1.900000000e-06
17.0000,-0.01000,-1.910000000e-06
17.1000,-0.02000,-1.920000000e-06
17.2000,-0.03000,-1.930000000e-06
17.3000,-0.04000,-1.940000000e-06
17.4000,-0.05000,-1.950000000e-06
17.5000,-0.06000,-1.960000000e-06
17.6000,-0.07000,-1.970000000e-06
17.7000,-0.08000,-1.980000000e-06
17.8000,-0.09000,-1.990000000e-06
