# name: cv_sce 0.1 V/s vs SCE
# reference_electrode: SCE
# potential_unit: V
# current_unit: A
# time_unit: s
# scan_rate: 0.1
# scan_rate_unit: V/s
# electrode_area: 0.0707
# electrode_area_unit: cm^2
time_s,potential_v,current_a
0.0000,-0.04500,2.055000000e-06
0.1000,-0.04500,2.055000000e-06
0.2000,-0.04500,2.055000000e-06
0.3000,-0.04500,2.055000000e-06
0.4000,-0.04500,2.055000000e-06
0.5000,-0.04500,2.055000000e-06
0.6000,-0.03500,2.065000000e-06
0.7000,-0.02500,2.075000000e-06
0.8000,-0.01500,2.085000000e-06
0.9000,-0.00500,2.095000000e-06
1.0000,0.00500,2.105000000e-06
1.1000,0.01500,2.115000000e-06
1.2000,0.02500,2.125000000e-06
1.3000,0.03500,2.135000000e-06
1.4000,0.04500,2.145000000e-06
1.5000,0.05500,2.155000000e-06
1.6000,0.06500,2.165000000e-06
1.7000,0.07500,2.175000000e-06
1.8000,0.08500,2.185000000e-06
1.9000,0.09500,2.195000000e-06
2.0000,0.10500,2.205000000e-06
2.1000,0.11500,2.215000000e-06
2.2000,0.12500,2.225000000e-06
2.3000,0.13500,2.235000000e-06
2.4000,0.14500,2.245000000e-06
2.5000,0.15500,2.255000000e-06
2.6000,0.16500,2.265000001e-06
2.7000,0.17500,2.275000026e-06
2.8000,0.18500,2.285000529e-06
2.9000,0.19500,2.295008281e-06
3.0000,0.20500,2.305100884e-06
3.1000,0.21500,2.315957200e-06
3.2000,0.22500,2.332073404e-06
3.3000,0.23500,2.375710914e-06
3.4000,0.24500,2.527505963e-06
3.5000,0.25500,2.992362560e-06
3.6000,0.26500,4.099512149e-06
3.7000,0.27500,6.056199187e-06
3.8000,0.28500,8.490370795e-06
3.9000,0.29500,1.035315060e-05
4.0000,0.30500,1.069239558e-05
4.1000,0.31500,9.641109010e-06
4.2000,0.32500,8.339533487e-06
4.3000,0.33500,7.804305293e-06
4.4000,0.34500,8.093097338e-06
4.5000,0.35500,8.518545487e-06
4.6000,0.36500,8.386880594e-06
4.7000,0.37500,7.493691879e-06
4.8000,0.38500,6.125140861e-06
4.9000,0.39500,4.746967450e-06
5.0000,0.40500,3.692400473e-06
5.1000,0.41500,3.048530234e-06
5.2000,0.42500,2.729284755e-06
5.3000,0.43500,2.601653980e-06
5.4000,0.44500,2.563532292e-06
5.5000,0.45500,2.559390815e-06
5.6000,0.46500,2.565886490e-06
5.7000,0.47500,2.575152516e-06
5.8000,0.48500,2.585022360e-06
5.9000,0.49500,2.595002793e-06
6.0000,0.50500,2.605000297e-06
6.1000,0.51500,2.615000027e-06
6.2000,0.52500,2.625000002e-06
6.3000,0.53500,2.635000000e-06
6.4000,0.54500,2.645000000e-06
6.5000,0.55500,2.655000000e-06
6.6000,0.56500,2.665000000e-06
6.7000,0.57500,2.675000000e-06
6.8000,0.58500,2.685000000e-06
6.9000,0.59500,2.695000000e-06
7.0000,0.60500,2.705000000e-06
7.1000,0.61500,2.715000000e-06
7.2000,0.62500,2.725000000e-06
7.3000,0.63500,2.735000000e-06
7.4000,0.64500,2.745000000e-06
7.5000,0.65500,2.755000000e-06
7.6000,0.66500,2.765000000e-06
7.7000,0.67500,2.775000000e-06
7.8000,0.68500,2.785000000e-06
7.9000,0.69500,2.795000000e-06
8.0000,0.70500,2.805000000e-06
8.1000,0.71500,2.815000000e-06
8.2000,0.72500,2.825000000e-06
8.3000,0.73500,2.835000000e-06
8.4000,0.74500,2.845000000e-06
8.5000,0.75500,2.855000000e-06
8.6000,0.75500,2.855000000e-06
8.7000,0.75500,2.855000000e-06
8.8000,0.75500,2.855000000e-06
8.9000,0.75500,2.855000000e-06
9.0000,0.74500,-1.155000000e-06
9.1000,0.73500,-1.165000000e-06
9.2000,0.72500,-1.175000000e-06
9.3000,0.71500,-1.185000000e-06
9.4000,0.70500,-1.195000000e-06
9.5000,0.69500,-1.205000000e-06
9.6000,0.68500,-1.215000000e-06
9.7000,0.67500,-1.225000000e-06
9.8000,0.66500,-1.235000000e-06
9.9000,0.65500,-1.245000000e-06
10.0000,0.64500,-1.255000000e-06
10.1000,0.63500,-1.265000000e-06
10.2000,0.62500,-1.275000000e-06
10.3000,0.61500,-1.285000000e-06
10.4000,0.60500,-1.295000000e-06
10.5000,0.59500,-1.305000000e-06
10.6000,0.58500,-1.315000000e-06
10.7000,0.57500,-1.325000000e-06
10.8000,0.56500,-1.335000000e-06
10.9000,0.55500,-1.345000000e-06
11.0000,0.54500,-1.355000000e-06
11.1000,0.53500,-1.365000000e-06
11.2000,0.52500,-1.375000003e-06
11.3000,0.51500,-1.385000028e-06
11.4000,0.50500,-1.395000204e-06
11.5000,0.49500,-1.405001350e-06
11.6000,0.48500,-1.415007986e-06
11.7000,0.47500,-1.425042283e-06
11.8000,0.46500,-1.435200326e-06
11.9000,0.45500,-1.445849283e-06
12.0000,0.44500,-1.458221899e-06
12.1000,0.43500,-1.475937458e-06
12.2000,0.42500,-1.508225088e-06
12.3000,0.41500,-1.575315414e-06
12.4000,0.40500,-1.714687927e-06
12.5000,0.39500,-1.983198311e-06
12.6000,0.38500,-2.446530254e-06
12.7000,0.37500,-3.149296575e-06
12.8000,0.36500,-4.071800700e-06
12.9000,0.35500,-5.099862397e-06
13.0000,0.34500,-6.045247489e-06
13.1000,0.33500,-6.734367767e-06
13.2000,0.32500,-7.128486906e-06
13.3000,0.31500,-7.382775407e-06
13.4000,0.30500,-7.755419081e-06
13.5000,0.29500,-8.382392701e-06
13.6000,0.28500,-9.085153817e-06
13.7000,0.27500,-9.417743032e-06
13.8000,0.26500,-8.974562937e-06
13.9000,0.25500,-7.711576148e-06
14.0000,0.24500,-5.991029685e-06
14.1000,0.23500,-4.325402748e-06
14.2000,0.22500,-3.071228349e-06
14.3000,0.21500,-2.310673221e-06
14.4000,0.20500,-1.934181467e-06
14.5000,0.19500,-1.782963302e-06
14.6000,0.18500,-1.736663291e-06
14.7000,0.17500,-1.730130603e-06
14.8000,0.16500,-1.736035588e-06
14.9000,0.15500,-1.745178140e-06
15.0000,0.14500,-1.755026114e-06
15.1000,0.13500,-1.765003262e-06
15.2000,0.12500,-1.775000347e-06
15.3000,0.11500,-1.785000032e-06
15.4000,0.10500,-1.795000002e-06
15.5000,0.09500,-1.805000000e-06
15.6000,0.08500,-1.815000000e-06
15.7000,0.07500,-1.825000000e-06
15.8000,0.06500,-1.835000000e-06
15.9000,0.05500,-1.845000000e-06
16.0000,0.04500,-1.855000000e-06
16.1000,0.03500,-1.865000000e-06
16.2000,0.02500,-1.875000000e-06
16.3000,0.01500,-1.885000000e-06
16.4000,0.00500,-1.895000000e-06
16.5000,-0.00500,-1.905000000e-06
16.6000,-0.01500,-1.915000000e-06
16.7000,-0.02500,-1.925000000e-06
16.8000,-0.03500,-1.935000000e-06
16.9000,-0.04500,-1.945000000e-06
17.0000,-0.05500,-1.955000000e-06
17.1000,-0.06500,-1.965000000e-06
17.2000,-0.07500,-1.975000000e-06
17.3000,-0.08500,-1.985000000e-06
17.4000,-0.09500,-1.995000000e-06
17.5000,-0.10500,-2.005000000e-06
17.6000,-0.11500,-2.015000000e-06
17.7000,-0.12500,-2.025000000e-06
17.8000,-0.13500,-2.035000000e-06
17.9000,-0.14500,-2.045000000e-06
18.0000,-0.15500,-2.055000000e-06
18.1000,-0.16500,-2.065000000e-06
18.2000,-0.17500,-2.075000000e-06
18.3000,-0.18500,-2.085000000e-06
18.4000,-0.19500,-2.095000000e-06
18.5000,-0.20500,-2.105000000e-06
18.6000,-0.21500,-2.115000000e-06
18.7000,-0.22500,-2.125000000e-06
18.8000,-0.23500,-2.135000000e-06
18.9000,-0.24500,-2.145000000e-06
19.0000,-0.24500,-2.145000000e-06
19.1000,-0.24500,-2.145000000e-06
