#name=循环伏安 50 mV/s (Ag/AgCl(3M KCl))
#scan_rate=0.05 V/s
#potential_unit=V
#current_unit=A
#time_unit=s
#area=0.071 cm2
#reference_electrode=Ag/AgCl(3M KCl)
#tolerance_v=1e-9
potential,current,time
0,5.970000e-6,0
0,5.970000e-6,0.02
0,5.970000e-6,0.04
0,5.970000e-6,0.06
1.000000e-3,5.970100e-6,0.08
2.000000e-3,5.970200e-6,0.1
3.000000e-3,5.970300e-6,0.12
4.000000e-3,5.970400e-6,0.14
5.000000e-3,5.970500e-6,0.16
6.000000e-3,5.970600e-6,0.18
7.000000e-3,5.970700e-6,0.2
8.000000e-3,5.970800e-6,0.22
9.000000e-3,5.970900e-6,0.24
0.01,5.971000e-6,0.26
0.011,5.971100e-6,0.28
0.012,5.971200e-6,0.3
0.013,5.971300e-6,0.32
0.014,5.971400e-6,0.34
0.015,5.971500e-6,0.36
0.016,5.971600e-6,0.38
0.017,5.971700e-6,0.4
0.018,5.971800e-6,0.42
0.019,5.971900e-6,0.44
0.02,5.972000e-6,0.46
0.021,5.972100e-6,0.48
0.022,5.972200e-6,0.5
0.023,5.972300e-6,0.52
0.024,5.972400e-6,0.54
0.025,5.972500e-6,0.56
0.026,5.972600e-6,0.58
0.027,5.972700e-6,0.6
0.028,5.972800e-6,0.62
0.029,5.972900e-6,0.64
0.03,5.973000e-6,0.66
0.031,5.973100e-6,0.68
0.032,5.973200e-6,0.7
0.033,5.973300e-6,0.72
0.034,5.973400e-6,0.74
0.035,5.973500e-6,0.76
0.036,5.973600e-6,0.78
0.037,5.973700e-6,0.8
0.038,5.973800e-6,0.82
0.039,5.973900e-6,0.84
0.04,5.974000e-6,0.86
0.041,5.974100e-6,0.88
0.042,5.974200e-6,0.9
0.043,5.974300e-6,0.92
0.044,5.974400e-6,0.94
0.045,5.974500e-6,0.96
0.046,5.974600e-6,0.98
0.047,5.974700e-6,1
0.048,5.974800e-6,1.02
0.049,5.974900e-6,1.04
0.05,5.975000e-6,1.06
0.051,5.975100e-6,1.08
0.052,5.975200e-6,1.1
0.053,5.975300e-6,1.12
0.054,5.975400e-6,1.14
0.055,5.975500e-6,1.16
0.056,5.975600e-6,1.18
0.057,5.975700e-6,1.2
0.058,5.975800e-6,1.22
0.059,5.975900e-6,1.24
0.06,5.976000e-6,1.26
0.061,5.976100e-6,1.28
0.062,5.976200e-6,1.3
0.063,5.976300e-6,1.32
0.064,5.976400e-6,1.34
0.065,5.976500e-6,1.36
0.066,5.976600e-6,1.38
0.067,5.976700e-6,1.4
0.068,5.976800e-6,1.42
0.069,5.976900e-6,1.44
0.07,5.977000e-6,1.46
0.071,5.977100e-6,1.48
0.072,5.977200e-6,1.5
0.073,5.977300e-6,1.52
0.074,5.977400e-6,1.54
0.075,5.977500e-6,1.56
0.076,5.977600e-6,1.58
0.077,5.977700e-6,1.6
0.078,5.977800e-6,1.62
0.079,5.977900e-6,1.64
0.08,5.978000e-6,1.66
0.081,5.978100e-6,1.68
0.082,5.978200e-6,1.7
0.083,5.978300e-6,1.72
0.084,5.978400e-6,1.74
0.085,5.978500e-6,1.76
0.086,5.978600e-6,1.78
0.087,5.978700e-6,1.8
